,lang_label
0,__label__en
1,__label__en
2,__label__en
3,__label__en
4,__label__en
5,__label__en
6,__label__en
7,__label__en
8,__label__en
9,__label__en
10,__label__en
11,__label__en
12,__label__en
13,__label__en
14,__label__en
15,__label__en
16,__label__en
17,__label__en
18,__label__en
19,__label__en
20,__label__en
21,__label__en
22,__label__en
23,__label__en
24,__label__en
25,__label__en
26,__label__en
27,__label__en
28,__label__en
29,__label__en
30,__label__en
31,__label__en
32,__label__en
33,__label__en
34,__label__en
35,__label__en
36,__label__en
37,__label__en
38,__label__en
39,__label__en
40,__label__en
41,__label__en
42,__label__en
43,__label__en
44,__label__en
45,__label__en
46,__label__en
47,__label__en
48,__label__en
49,__label__en
50,__label__en
51,__label__en
52,__label__en
53,__label__en
54,__label__en
55,__label__en
56,__label__en
57,__label__en
58,__label__en
59,__label__en
60,__label__en
61,__label__en
62,__label__en
63,__label__en
64,__label__en
65,__label__en
66,__label__en
67,__label__en
68,__label__en
69,__label__en
70,__label__en
71,__label__en
72,__label__en
73,__label__en
74,__label__en
75,__label__en
76,__label__en
77,__label__cs
78,__label__en
79,__label__en
80,__label__en
81,__label__en
82,__label__en
83,__label__en
84,__label__en
85,__label__en
86,__label__en
87,__label__en
88,__label__en
89,__label__en
90,__label__en
91,__label__en
92,__label__en
93,__label__en
94,__label__en
95,__label__en
96,__label__en
97,__label__en
98,__label__en
99,__label__en
100,__label__en
101,__label__en
102,__label__en
103,__label__en
104,__label__en
105,__label__en
106,__label__en
107,__label__en
108,__label__en
109,__label__en
110,__label__en
111,__label__en
112,__label__en
113,__label__en
114,__label__en
115,__label__en
116,__label__en
117,__label__en
118,__label__en
119,__label__en
120,__label__en
121,__label__en
122,__label__en
123,__label__en
124,__label__ja
125,__label__en
126,__label__en
127,__label__en
128,__label__en
129,__label__en
130,__label__en
131,__label__en
132,__label__en
133,__label__en
134,__label__en
135,__label__en
136,__label__en
137,__label__en
138,__label__en
139,__label__en
140,__label__en
141,__label__en
142,__label__en
143,__label__en
144,__label__en
145,__label__en
146,__label__en
147,__label__en
148,__label__fr
149,__label__en
150,__label__en
151,__label__en
152,__label__en
153,__label__en
154,__label__en
155,__label__en
156,__label__en
157,__label__en
158,__label__en
159,__label__en
160,__label__en
161,__label__en
162,__label__en
163,__label__en
164,__label__it
165,__label__en
166,__label__es
167,__label__en
168,__label__en
169,__label__en
170,__label__en
171,__label__en
172,__label__en
173,__label__en
174,__label__en
175,__label__en
176,__label__en
177,__label__en
178,__label__en
179,__label__en
180,__label__en
181,__label__en
182,__label__en
183,__label__en
184,__label__en
185,__label__en
186,__label__de
187,__label__en
188,__label__en
189,__label__en
190,__label__fr
191,__label__en
192,__label__en
193,__label__en
194,__label__en
195,__label__en
196,__label__en
197,__label__en
198,__label__en
199,__label__en
200,__label__en
201,__label__en
202,__label__en
203,__label__en
204,__label__en
205,__label__en
206,__label__en
207,__label__en
208,__label__en
209,__label__en
210,__label__en
211,__label__en
212,__label__en
213,__label__en
214,__label__en
215,__label__en
216,__label__en
217,__label__en
218,__label__en
219,__label__en
220,__label__en
221,__label__en
222,__label__en
223,__label__en
224,__label__en
225,__label__en
226,__label__en
227,__label__en
228,__label__en
229,__label__en
230,__label__en
231,__label__en
232,__label__en
233,__label__en
234,__label__en
235,__label__en
236,__label__en
237,__label__en
238,__label__en
239,__label__en
240,__label__en
241,__label__en
242,__label__en
243,__label__en
244,__label__en
245,__label__en
246,__label__en
247,__label__en
248,__label__en
249,__label__it
250,__label__en
251,__label__en
252,__label__en
253,__label__en
254,__label__de
255,__label__en
256,__label__en
257,__label__en
258,__label__en
259,__label__en
260,__label__fr
261,__label__en
262,__label__en
263,__label__en
264,__label__en
265,__label__en
266,__label__en
267,__label__en
268,__label__en
269,__label__en
270,__label__en
271,__label__en
272,__label__en
273,__label__en
274,__label__en
275,__label__en
276,__label__en
277,__label__en
278,__label__en
279,__label__en
280,__label__en
281,__label__en
282,__label__en
283,__label__en
284,__label__en
285,__label__en
286,__label__en
287,__label__en
288,__label__en
289,__label__en
290,__label__en
291,__label__en
292,__label__en
293,__label__en
294,__label__en
295,__label__en
296,__label__en
297,__label__en
298,__label__en
299,__label__en
300,__label__en
301,__label__en
302,__label__en
303,__label__en
304,__label__en
305,__label__en
306,__label__en
307,__label__en
308,__label__en
309,__label__en
310,__label__en
311,__label__en
312,__label__en
313,__label__en
314,__label__en
315,__label__en
316,__label__en
317,__label__en
318,__label__en
319,__label__en
320,__label__en
321,__label__en
322,__label__en
323,__label__nl
324,__label__en
325,__label__en
326,__label__en
327,__label__en
328,__label__en
329,__label__en
330,__label__en
331,__label__en
332,__label__en
333,__label__en
334,__label__en
335,__label__en
336,__label__en
337,__label__en
338,__label__en
339,__label__en
340,__label__en
341,__label__en
342,__label__en
343,__label__en
344,__label__en
345,__label__en
346,__label__en
347,__label__en
348,__label__en
349,__label__en
350,__label__en
351,__label__en
352,__label__en
353,__label__en
354,__label__en
355,__label__en
356,__label__en
357,__label__en
358,__label__en
359,__label__en
360,__label__en
361,__label__en
362,__label__en
363,__label__en
364,__label__en
365,__label__en
366,__label__en
367,__label__en
368,__label__en
369,__label__en
370,__label__en
371,__label__en
372,__label__en
373,__label__en
374,__label__zh
375,__label__en
376,__label__en
377,__label__en
378,__label__en
379,__label__en
380,__label__en
381,__label__en
382,__label__en
383,__label__en
384,__label__en
385,__label__en
386,__label__en
387,__label__en
388,__label__en
389,__label__en
390,__label__en
391,__label__en
392,__label__en
393,__label__en
394,__label__en
395,__label__en
396,__label__en
397,__label__en
398,__label__en
399,__label__en
400,__label__en
401,__label__en
402,__label__en
403,__label__en
404,__label__en
405,__label__en
406,__label__en
407,__label__en
408,__label__en
409,__label__en
410,__label__en
411,__label__en
412,__label__en
413,__label__en
414,__label__en
415,__label__en
416,__label__en
417,__label__en
418,__label__en
419,__label__en
420,__label__en
421,__label__en
422,__label__en
423,__label__en
424,__label__en
425,__label__en
426,__label__en
427,__label__en
428,__label__en
429,__label__en
430,__label__en
431,__label__en
432,__label__en
433,__label__en
434,__label__en
435,__label__en
436,__label__en
437,__label__en
438,__label__en
439,__label__en
440,__label__en
441,__label__en
442,__label__en
443,__label__en
444,__label__en
445,__label__en
446,__label__en
447,__label__en
448,__label__en
449,__label__en
450,__label__en
451,__label__en
452,__label__en
453,__label__en
454,__label__en
455,__label__en
456,__label__en
457,__label__en
458,__label__en
459,__label__en
460,__label__en
461,__label__en
462,__label__en
463,__label__en
464,__label__en
465,__label__en
466,__label__en
467,__label__en
468,__label__en
469,__label__en
470,__label__en
471,__label__en
472,__label__zh
473,__label__en
474,__label__en
475,__label__en
476,__label__en
477,__label__en
478,__label__en
479,__label__en
480,__label__en
481,__label__en
482,__label__en
483,__label__en
484,__label__en
485,__label__en
486,__label__en
487,__label__en
488,__label__en
489,__label__en
490,__label__en
491,__label__en
492,__label__en
493,__label__en
494,__label__en
495,__label__en
496,__label__en
497,__label__en
498,__label__en
499,__label__en
500,__label__en
501,__label__en
502,__label__en
503,__label__en
504,__label__en
505,__label__en
506,__label__en
507,__label__en
508,__label__en
509,__label__en
510,__label__en
511,__label__en
512,__label__en
513,__label__en
514,__label__es
515,__label__en
516,__label__en
517,__label__en
518,__label__en
519,__label__it
520,__label__en
521,__label__en
522,__label__en
523,__label__en
524,__label__en
525,__label__en
526,__label__en
527,__label__en
528,__label__en
529,__label__en
530,__label__en
531,__label__en
532,__label__en
533,__label__fr
534,__label__en
535,__label__en
536,__label__en
537,__label__en
538,__label__en
539,__label__en
540,__label__en
541,__label__en
542,__label__en
543,__label__en
544,__label__en
545,__label__en
546,__label__en
547,__label__en
548,__label__en
549,__label__en
550,__label__en
551,__label__en
552,__label__en
553,__label__en
554,__label__en
555,__label__en
556,__label__en
557,__label__en
558,__label__en
559,__label__en
560,__label__en
561,__label__en
562,__label__en
563,__label__en
564,__label__en
565,__label__en
566,__label__en
567,__label__en
568,__label__en
569,__label__en
570,__label__en
571,__label__en
572,__label__en
573,__label__en
574,__label__en
575,__label__en
576,__label__en
577,__label__en
578,__label__en
579,__label__en
580,__label__en
581,__label__en
582,__label__en
583,__label__en
584,__label__en
585,__label__en
586,__label__en
587,__label__en
588,__label__en
589,__label__en
590,__label__en
591,__label__en
592,__label__en
593,__label__en
594,__label__en
595,__label__en
596,__label__en
597,__label__en
598,__label__en
599,__label__en
600,__label__en
601,__label__en
602,__label__en
603,__label__en
604,__label__en
605,__label__en
606,__label__en
607,__label__en
608,__label__en
609,__label__en
610,__label__en
611,__label__en
612,__label__en
613,__label__en
614,__label__en
615,__label__en
616,__label__en
617,__label__en
618,__label__en
619,__label__en
620,__label__en
621,__label__en
622,__label__en
623,__label__en
624,__label__fr
625,__label__en
626,__label__en
627,__label__en
628,__label__en
629,__label__en
630,__label__en
631,__label__en
632,__label__en
633,__label__en
634,__label__en
635,__label__en
636,__label__en
637,__label__fr
638,__label__en
639,__label__en
640,__label__en
641,__label__en
642,__label__en
643,__label__en
644,__label__en
645,__label__en
646,__label__en
647,__label__en
648,__label__en
649,__label__en
650,__label__en
651,__label__en
652,__label__en
653,__label__en
654,__label__en
655,__label__en
656,__label__en
657,__label__en
658,__label__en
659,__label__en
660,__label__en
661,__label__en
662,__label__en
663,__label__en
664,__label__en
665,__label__en
666,__label__en
667,__label__en
668,__label__en
669,__label__en
670,__label__en
671,__label__en
672,__label__en
673,__label__en
674,__label__en
675,__label__en
676,__label__en
677,__label__en
678,__label__en
679,__label__en
680,__label__en
681,__label__en
682,__label__en
683,__label__fr
684,__label__en
685,__label__en
686,__label__en
687,__label__en
688,__label__en
689,__label__en
690,__label__en
691,__label__en
