,tags
0,['regularization']
1,"['python', 'nlp', 'topic-model', 'lda', 'gensim']"
2,"['classification', 'predictive-modeling', 'statistics', 'random-forest', 'multilabel-classification']"
3,"['nlp', 'stanford-nlp', 'question-answering']"
4,"['machine-learning', 'neural-network', 'deep-learning', 'nlp', 'cnn']"
5,['image-classification']
6,"['python', 'keras', 'tensorflow', 'accuracy', 'mnist']"
7,"['nlp', 'clustering']"
8,"['deep-learning', 'classification', 'predictive-modeling']"
9,"['python', 'web-scraping']"
10,['sentiment-analysis']
11,"['correlation', 'parameter-estimation', 'estimators']"
12,"['statistics', 'data-analysis', 'sampling', 'parameter-estimation', 'infere']"
13,"['data', 'kaggle']"
14,"['research', 'hypothesis-testing']"
15,"['machine-learning', 'feature-selection', 'logistic-regression']"
16,"['machine-learning', 'classification', 'dataset', 'predictive-modeling']"
17,"['machine-learning', 'linear-regression', 'xgboost', 'data-product']"
18,"['reference-request', 'ocr']"
19,"['machine-learning', 'python', 'keras', 'tensorflow', 'loss-function']"
20,['correlation']
21,['xgboost']
22,"['python', 'clustering', 'pandas', 'pca', 'sparse']"
23,"['logistic-regression', 'sampling']"
24,"['machine-learning', 'python', 'coursera']"
25,"['machine-learning', 'deep-learning', 'keras', 'scikit-learn']"
26,"['machine-learning', 'deep-learning', 'feature-engineering', 'embeddings']"
27,['classification']
28,"['machine-learning', 'derivation']"
29,"['machine-learning', 'object-detection']"
30,"['regression', 'xgboost', 'boosting']"
31,"['machine-learning', 'data-cleaning', 'feature-engineering', 'preprocessing']"
32,"['correlation', 'collinearity', 'non-parametric']"
33,"['keras', 'tensorflow', 'image-classification', 'supervised-learning']"
34,"['machine-learning', 'deep-learning', 'image-recognition']"
35,"['python', 'scikit-learn']"
36,"['keras', 'multilabel-classification', 'multitask-learning', 'multi-output']"
37,"['linear-regression', 'glm', 'multivariate-distribution', 'collinearity']"
38,['time-series']
39,"['machine-learning', 'python', 'deep-learning', 'image-classification', 'opencv']"
40,"['matplotlib', 'opencv']"
41,"['machine-learning', 'python', 'scikit-learn', 'data-science-model']"
42,"['regression', 'decision-trees', 'data-science-model', 'collinearity']"
43,"['python', 'scikit-learn', 'regression', 'pandas']"
44,"['machine-learning', 'deep-learning', 'spacy']"
45,"['apache-hadoop', 'hive']"
46,"['ranking', 'learning-to-rank']"
47,"['neural-network', 'keras', 'tensorflow', 'cnn', 'image-recognition']"
48,"['machine-learning', 'deep-learning', 'bert', 'sequence-to-sequence', 'machine-translation']"
49,"['deep-learning', 'tensorflow', 'convnet', 'image-recognition', 'image-preprocessing']"
50,"['data', 'excel']"
51,"['python', 'pandas', 'numpy', 'dataframe', 'data-wrangling']"
52,['convnet']
53,"['machine-learning', 'neural-network', 'cnn', 'lstm']"
54,"['regression', 'autoencoder', 'transformer', 'attention-mechanism']"
55,"['python', 'machine-learning', 'regression', 'classification', 'xgboost']"
56,"['python', 'classification', 'probability', 'lightgbm', 'probability-calibration']"
57,"['python', 'recommender-system', 'databases', 'azure-ml', 'cloud-computing']"
58,"['machine-learning', 'neural-network', 'deep-learning', 'classification', 'cnn']"
59,"['machine-learning', 'xgboost']"
60,"['statistics', 'communication']"
61,"['neural-network', 'deep-learning', 'keras']"
62,"['machine-learning', 'python', 'naive-bayes-classifier']"
63,"['python', 'pandas', 'dataframe']"
64,"['machine-learning', 'dataset', 'training', 'evaluation', 'speech-to-text']"
65,"['machine-learning', 'python', 'tensorflow', 'machine-learning-model', 'neural-style-transfer']"
66,"['machine-learning', 'deep-learning', 'tensorflow', 'data-science-model', 'google']"
67,"['classification', 'cost-function']"
68,"['clustering', 'k-means', 'python-3.x', 'ml']"
69,['linear-regression']
70,"['machine-learning', 'dataset', 'evaluation']"
71,"['nlp', 'word-embeddings', 'transfer-learning', 'encoding', 'embeddings']"
72,"['pandas', 'data', 'numpy', 'cosine-distance']"
73,"['neural-network', 'deep-learning']"
74,"['orange', 'lda']"
75,"['machine-learning', 'time-series', 'feature-engineering']"
76,"['r', 'xgboost', 'dataframe']"
77,"['machine-learning', 'python', 'neural-network', 'keras', 'lstm']"
78,"['machine-learning', 'python', 'r', 'statistics', 'data-analysis']"
79,"['statistics', 'correlation', 'statsmodels', 'anova']"
80,"['correlation', 'collinearity', 'pearsons-correlation-coefficient']"
81,"['word2vec', 'gensim']"
82,"['data-analysis', 'descriptive-statistics', 'self-study']"
83,"['r', 'data', 'correlation', 'dataframe']"
84,"['machine-learning', 'dataset', 'feature-engineering']"
85,"['machine-learning', 'classification', 'confusion-matrix']"
86,"['machine-learning', 'lstm', 'normalization', 'historgram']"
87,"['neural-network', 'cnn', 'pooling']"
88,"['linear-regression', 'descriptive-statistics', 'interpretation', 'infere']"
89,"['deep-learning', 'overfitting', 'bias', 'weight-initialization', 'epochs']"
90,"['keras', 'similarity', 'distance', 'features']"
91,"['dataset', 'version-control']"
92,"['machine-learning', 'statistics', 'unsupervised-learning', 'books']"
93,"['math', 'mathematics']"
94,"['data', 'machine-learning-model']"
95,"['machine-learning', 'deep-learning', 'keras', 'tensorflow']"
96,['machine-learning']
97,"['machine-learning', 'deep-learning']"
98,['lstm']
99,"['python', 'classification', 'nlp']"
100,"['python', 'r', 'regression', 'correlation']"
101,"['reinforcement-learning', 'markov-process']"
102,"['machine-learning', 'classification']"
103,"['machine-learning', 'data-cleaning', 'data-leakage']"
104,"['machine-learning', 'data', 'data-science-model']"
105,"['machine-learning', 'python', 'deep-learning', 'computer-vision', 'opencv']"
106,"['overfitting', 'bert', 'huggingface']"
107,"['machine-learning', 'neural-network', 'deep-learning', 'regularization']"
108,"['time-series', 'pandas', 'data-cleaning', 'dataframe', 'normalization']"
109,"['machine-learning', 'deep-learning', 'time-series', 'dataset', 'reinforcement-learning']"
110,"['python', 'data-mining', 'association-rules']"
111,"['keras', 'lstm', 'multilabel-classification']"
112,"['python', 'tensorflow', 'autoencoder']"
113,"['python', 'pandas', 'data-cleaning', 'dataframe', 'interpolation']"
114,['pytorch']
115,"['machine-learning', 'python', 'recommender-system']"
116,"['machine-learning', 'neural-network', 'deep-learning']"
117,['gradient-descent']
118,"['python', 'pandas', 'python-3.x']"
119,"['image', 'tableau']"
120,"['dataset', 'algorithms']"
121,"['python', 'data-cleaning', 'pyspark']"
122,"['neural-network', 'deep-learning', 'cnn', 'convolution', 'dropout']"
123,"['machine-learning', 'text-mining', 'accuracy']"
124,"['feature-selection', 'correlation']"
125,"['nlp', 'feature-engineering', 'categorical-data', 'text', 'categorical-encoding']"
126,"['machine-learning', 'scikit-learn', 'time-series', 'clustering']"
127,"['python', 'scikit-learn', 'dataset', 'pandas']"
128,"['machine-learning', 'python', 'keras', 'training', 'plotting']"
129,"['cnn', 'image-classification', 'class-imbalance', 'data-augmentation']"
130,"['machine-learning', 'deep-learning', 'convnet', 'autoencoder']"
131,"['neural-network', 'deep-learning', 'overfitting', 'regularization', 'dropout']"
132,"['machine-learning', 'deep-learning', 'scikit-learn', 'mlp']"
133,"['machine-learning', 'optimization', 'gradient-descent', 'mini-batch-gradient-descent']"
134,"['deep-learning', 'cnn', 'computer-vision', 'yolo', 'coursera']"
135,"['machine-learning', 'python', 'missing-data', 'data-imputation']"
136,"['python', 'neural-network', 'keras', 'multiclass-classification', 'multilabel-classification']"
