,tags
0,"['machine-learning', 'deep-learning', 'keras', 'lstm', 'rnn']"
1,"['deep-learning', 'preprocessing', 'autoencoder', 'feature-scaling', 'noise']"
2,"['neural-network', 'classification', 'regression', 'training', 'recurrent-neural-net']"
3,"['supervised-learning', 'data-imputation']"
4,"['machine-learning', 'neural-network', 'predictive-modeling']"
5,"['data-science-model', 'pytorch', 'model-selection']"
6,"['neural-network', 'deep-learning', 'terminology']"
7,"['dataset', 'data-mining', 'data-cleaning', 'csv']"
8,"['classification', 'image-classification', 'cs231n']"
9,"['deep-learning', 'reinforcement-learning', 'q-learning', 'dqn']"
10,"['machine-learning', 'regression', 'random-forest']"
11,"['python', 'clustering', 'k-means']"
12,"['python', 'pandas', 'groupby']"
13,"['neural-network', 'computer-vision', 'image-preprocessing', 'opencv']"
14,"['classification', 'accuracy', 'metric']"
15,"['python', 'sequential-pattern-mining']"
16,['ml']
17,"['machine-learning', 'predictive-modeling', 'machine-learning-model', 'data-science-model', 'ml']"
18,"['machine-learning', 'machine-learning-model', 'autoencoder', 'sequence-to-sequence']"
19,"['machine-learning', 'python', 'scikit-learn', 'normalization']"
20,"['statistics', 'sampling', 'distribution', 'multivariate-distribution']"
21,"['cross-validation', 'overfitting']"
22,"['machine-learning', 'regression', 'data-product']"
23,"['association-rules', 'sequential-pattern-mining']"
24,"['python', 'scikit-learn', 'computer-vision']"
25,"['machine-learning', 'python']"
26,"['machine-learning', 'python', 'reinforcement-learning', 'recurrent-neural-net']"
27,"['machine-learning', 'python', 'clustering', 'algorithms', 'k-means']"
28,"['machine-learning', 'clustering', 'data-mining', 'bigdata']"
29,"['nlp', 'rnn', 'svm', 'word-embeddings', 'bert']"
30,"['machine-learning', 'neural-network', 'keras']"
31,"['machine-learning', 'confusion-matrix']"
32,"['classification', 'autoencoder', 'encoding']"
33,"['machine-learning', 'time-series', 'sequence']"
34,"['machine-learning', 'feature-selection', 'data-science-model', 'features']"
35,"['python', 'time-series', 'data-science-model', 'sampling', 'distribution']"
36,"['python', 'pandas', 'efficiency', 'parallel', 'jaccard-coefficient']"
37,"['python', 'pandas']"
38,"['python', 'predictive-modeling', 'time-series', 'feature-selection', 'feature-extraction']"
39,"['machine-learning', 'python', 'classification', 'preprocessing']"
40,"['machine-learning', 'dataset', 'regression']"
41,"['convnet', 'accuracy', 'overfitting', 'transfer-learning', 'data-augmentation']"
42,"['boosting', 'mathematics', 'adaboost']"
43,"['machine-learning', 'neural-network', 'loss-function']"
