,tags
0,"['machine-learning', 'prediction', 'evaluation', 'data-analysis', 'distribution']"
1,"['r', 'data-mining', 'data', 'plotting', 'ggplot2']"
2,"['python', 'keras', 'tensorflow']"
3,"['deep-learning', 'tensorflow', 'loss-function']"
4,"['visualization', 'terminology', 'plotting']"
5,"['dataset', 'visualization', 'word-embeddings', 'kaggle']"
6,"['deep-learning', 'tensorflow', 'pytorch', 'natural-language-process']"
7,"['regression', 'feature-engineering', 'k-nn', 'distance']"
8,"['machine-learning', 'softmax']"
9,"['dataset', 'predictive-modeling', 'training', 'supervised-learning']"
10,"['machine-learning', 'neural-network', 'prediction']"
11,"['machine-learning', 'neural-network', 'deep-learning']"
12,"['machine-learning', 'hyperparameter-tuning']"
13,"['machine-learning', 'neural-network', 'gradient-descent']"
14,"['nlp', 'word-embeddings', 'embeddings']"
15,"['machine-learning', 'python', 'neural-network', 'keras']"
16,"['nlp', 'transfer-learning', 'transformer']"
17,['gradient']
18,"['python', 'deep-learning', 'tensorflow', 'cnn', 'overfitting']"
19,"['scikit-learn', 'cross-validation', 'anomaly-detection', 'autoencoder', 'isolation-forest']"
20,"['python', 'logistic-regression', 'numpy', 'normalization']"
21,"['machine-learning', 'python', 'pyspark', 'lime']"
22,"['neural-network', 'text']"
23,"['overfitting', 'regularization', 'noise']"
24,"['machine-learning', 'deep-learning', 'tensorflow', 'lstm', 'rnn']"
25,"['machine-learning', 'statistics', 'data-science-model', 'mathematics']"
26,"['deep-learning', 'keras']"
27,"['visualization', 'tableau']"
28,['sagemaker']
29,"['training', 'loss-function', 'convergence']"
30,"['machine-learning', 'deep-learning', 'dataset', 'image-classification', 'computer-vision']"
31,"['machine-learning', 'linear-regression', 'correlation', 'collinearity']"
32,"['neural-network', 'r', 'predictive-modeling', 'ensemble-modeling']"
33,"['neural-network', 'r']"
34,"['neural-network', 'tensorflow', 'evaluation', 'multilabel-classification']"
35,"['neural-network', 'keras', 'tensorflow', 'cnn']"
36,"['statistics', 'linear-regression', 'multivariate-distribution', 'interpretation']"
37,['predictive-modeling']
38,"['machine-learning', 'neural-network', 'computer-vision']"
39,"['regression', 'features']"
40,"['neural-network', 'optimization']"
41,['classification']
42,['machine-learning']
43,"['feature-extraction', 'training', 'automation']"
44,"['machine-learning', 'python', 'statistics']"
45,"['deep-learning', 'nlp', 'lstm', 'rnn']"
46,"['neural-network', 'time-series', 'normalization']"
47,"['neural-network', 'tensorflow', 'keras']"
48,"['machine-learning', 'python', 'neural-network', 'tensorflow', 'hyperparameter-tuning']"
49,"['machine-learning', 'python', 'neural-network', 'keras', 'cnn']"
50,"['machine-learning', 'pca', 'regularization', 'ridge-regression', 'exploratory-factor-analysis']"
51,"['statistics', 'correlation']"
52,"['neural-network', 'data', 'image-classification', 'computer-vision', 'data-augmentation']"
53,"['neural-network', 'keras', 'tensorflow', 'convolution']"
54,"['python', 'clustering', 'matplotlib']"
55,"['machine-learning', 'tensorflow', 'cnn']"
56,"['neural-network', 'deep-learning', 'backpropagation']"
57,"['machine-learning', 'dataset', 'variance', 'bias']"
58,"['neural-network', 'convolution']"
59,"['machine-learning', 'python', 'neural-network', 'keras', 'lstm']"
60,['neural-network']
61,"['clustering', 'data', 'k-means', 'pca', 'missing-data']"
62,"['python', 'recommender-system', 'multiclass-classification']"
63,"['neural-network', 'training']"
64,"['neural-network', 'deep-learning', 'keras', 'tensorflow', 'cnn']"
65,"['neural-network', 'tensorflow', 'dataset', 'model-selection', 'image-segmentation']"
66,"['machine-learning', 'python', 'scikit-learn', 'dataset', 'text-classification']"
67,"['categorical-data', 'correlation', 'pearsons-correlation-coefficient', 'chi-square-test']"
68,"['neural-network', 'deep-learning', 'convnet', 'autoencoder']"
69,"['python', 'pandas']"
70,"['pandas', 'dataframe', 'indexing']"
71,"['python', 'pandas', 'sql', 'dataframe']"
72,"['python', 'pandas']"
73,"['deep-learning', 'scikit-learn', 'ensemble-modeling']"
74,"['python', 'pandas', 'data-cleaning']"
75,"['machine-learning', 'computer-vision', 'natural-language-process']"
76,"['gradient-descent', 'pytorch']"
77,"['statistics', 'feature-selection', 'data-science-model', 'correlation', 'kaggle']"
